WBAN	COUNTRY	STATE	LOCATION	VECTOR	NAME	LATITUDE	LONGITUDE	ELEVATION	STATUS	COMMISSIONING	CLOSING	OPERATION	PAIRING	NETWORK
04131	US	WY	Moose	1 NNE	Grand Teton National Park	43.66	-110.71	6466	Commissioned	2004-08-12 20:00:00.0		Operational		USCRN
04136	US	WA	Spokane	17 SSW	US Fish & Wildlife Service, Turnbull NWR (Headquarters Site)	47.41	-117.52	2267	Commissioned	2007-09-27 20:00:00.0		Operational		USCRN
04137	US	MT	Dillon	18 WSW	Bannack State Park, Old Freight Road Site	45.15	-113	5971	Commissioned	2007-09-27 20:00:00.0		Operational		USCRN
04138	US	UT	Brigham City	28 WNW	Golden Spike National Historic Site (Visitor Center Site)	41.61	-112.54	4951	Commissioned	2007-12-18 19:00:00.0		Operational		USCRN
04139	US	NV	Denio	52 WSW	Sheldon National Wildlife Refuge, (Little Sheldon Site)	41.84	-119.63	6500	Commissioned	2008-07-29 20:00:00.0		Operational		USCRN
04140	US	MT	Lewistown	42 WSW	Montana Department  Fish, Wildlife & Parks, Judith River WMA	46.88	-110.28	5070	Commissioned	2008-09-04 20:00:00.0		Operational		USCRN
04141	US	OR	Coos Bay	8 SW	South Slough National Estuarine Research Reserve (Frederickson Marsh Site)	43.27	-124.31	12	Commissioned	2008-10-01 20:00:00.0		Operational		USCRN
04143	US	UT	Provo	22 E	FS, Uinta-Wasatch-Cache National Forest (Hub Guard Station)	40.28	-111.23	7808	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
04222	US	CA	Redding	12 WNW	Whiskeytown National Recreation Area (RAWS Site)	40.65	-122.6	1418	Commissioned	2004-01-25 19:00:00.0		Operational		USCRN
04223	US	WA	Darrington	21 NNE	North Cascades National Park (Marblemount)	48.54	-121.44	407	Commissioned	2004-01-25 19:00:00.0		Operational		USCRN
04236	US	OR	Corvallis	10 SSW	DOI, William L. Finley NWR (East end of Field 22)	44.41	-123.32	312	Commissioned	2006-11-29 19:00:00.0		Operational		USCRN
04237	US	WA	Quinault	4 NE	Olympic National Park (Bishop Field Site)	47.51	-123.81	286	Commissioned	2006-11-29 19:00:00.0		Operational		USCRN
04990	US	SD	Sioux Falls	14 NNE	EROS Data Center	43.73	-96.62	1594	Commissioned	2004-01-11 19:00:00.0		Operational		USCRN
04994	US	MN	Goodridge	12 NNW	Agassiz National Wildlife Refuge (Maintenance Shop Site)	48.3	-95.87	1150	Commissioned	2004-01-11 19:00:00.0		Operational		USCRN
12987	US	TX	Edinburg	17 NNE	Lower Rio Grande Valley NWR (La Sal Del Rey)	26.52	-98.06	64	Commissioned	2004-04-22 20:00:00.0		Operational		USCRN
13301	US	MO	Chillicothe	22 ENE	University of Missouri (Forage Systems Research Station)	39.86	-93.14	833	Commissioned	2005-10-26 20:00:00.0		Operational		USCRN
21514	US	HI	Mauna Loa	5 NNE	Mauna Loa Obsv., NOAA Earth Systems Res. Lab.,Global Mon. Div.	19.53	-155.57	11179	Experimental			Operational		USCRN
21515	US	HI	Hilo	5 S	University of Hawaii Waiakea  Experiment Station	19.64	-155.08	622	Experimental			Operational		USCRN
22016	US	TX	Panther Junction	2 N	Big Bend National Park	29.34	-103.2	3494	Commissioned	2007-06-10 20:00:00.0		Operational		USCRN
23801	US	AL	Troy	2 W	Troy	31.79	-86	472	Experimental			Operational		Alabama-USRCRN
23802	US	AL	Thomasville	2 S	Thomasville	31.88	-87.73	350	Experimental			Operational		Alabama-USRCRN
23803	US	MS	Holly Springs	4 N	MSU, MAFES, North MS R&E Center, (North MS Branch)	34.82	-89.43	484	Commissioned	2008-04-03 20:00:00.0		Operational		USCRN
23904	US	AR	Batesville	8 WNW	LFST Br. Exp. Stn.,Univ.of AR, Div.of Agriculture(Field #1)	35.82	-91.78	455	Commissioned	2007-02-22 19:00:00.0		Operational		USCRN
23906	US	TX	Port Aransas	32 NNE	Aransas National Wildlife Refuge (Weather Site)	28.3	-96.82	15	Commissioned	2008-04-01 20:00:00.0		Operational		USCRN
23907	US	TX	Austin	33 NW	Balcones National Wildlife Refuge (Flying X Ranch)	30.62	-98.08	1361	Commissioned	2008-04-03 20:00:00.0		Operational		USCRN
23908	US	MO	Joplin	24 N	Shawnee Trail Conservation Area	37.42	-94.58	952	Commissioned	2007-08-02 20:00:00.0		Operational		USCRN
23909	US	MO	Salem	10 W	White River Trace Conservation Area (Stand 4, Compartment 7)	37.63	-91.72	1198	Commissioned	2007-08-02 20:00:00.0		Operational		USCRN
25379	US	AK	Sitka	1 NE	USGS  Sitka Magnetic Observatory	57.05	-135.32	78	Commissioned	2013-07-21 20:00:00.0		Operational		USCRN
25380	US	AK	Gustavus	2 NE	The Nature Conservancy, Gustavus Forelands Preserve	58.42	-135.69	20	Commissioned	2013-07-24 20:00:00.0		Operational		USCRN
25381	US	AK	Metlakatla	6 S	NOAA, National Weather Service (Annette Island)	55.04	-131.58	105	Commissioned	2013-07-24 20:00:00.0		Operational		USCRN
25382	US	AK	Yakutat	3 SSE	FS, Tongass National Forest (Yakutat)	59.5	-139.68	26	Non-comissioned			Operational		USCRN
25522	US	AK	King Salmon	42 SE	NPS, Katmai National Park (Contact Creek)	58.2	-155.92	661	Commissioned	2013-07-24 20:00:00.0		Operational		USCRN
25630	US	AK	Sand Point	1 ENE	USGS Shumagin Magnetic Observatory	55.34	-160.46	240	Commissioned	2010-09-06 20:00:00.0		Operational		USCRN
25711	US	AK	St. Paul	4 NE	NOAA National Weather Service St Paul	57.15	-170.21	20	Commissioned	2013-07-22 20:00:00.0		Operational		USCRN
26494	US	AK	Fairbanks	11 NE	NOAA / NESDIS (FCDAS)	64.97	-147.51	1140	Commissioned	2013-07-22 20:00:00.0		Operational		USCRN
26562	US	AK	Port Alsworth	1 SW	Lake Clark National Park	60.19	-154.31	321	Commissioned	2010-09-06 20:00:00.0		Operational		USCRN
26563	US	AK	Kenai	29 ENE	Kenai National Wildlife Refuge (Kenai Moose Research Center)	60.72	-150.44	282	Commissioned	2011-09-11 20:00:00.0		Operational		USCRN
26564	US	AK	Ivotuk	1 NNE	Arctic Slope Regional Corporation, Ivotuk Airstrip	68.48	-155.75	1909	Commissioned	2015-09-28 20:00:00.0		Operational		USCRN
26565	US	AK	Deadhorse	3 S	AK Department of Natural Resources, Haul Road)	70.16	-148.46	30	Commissioned	2015-09-28 20:00:00.0		Operational		USCRN
26655	US	AK	Red Dog Mine	3 SSW	NANA Regional Corp Red Dog Mine	68.02	-162.92	942	Commissioned	2011-09-11 20:00:00.0		Operational		USCRN
27516	US	AK	Barrow	4 ENE	Barrow Obsv., NOAA Earth Systems Res. Lab., Global Mon. Div.	71.32	-156.61	15	Commissioned	2013-07-21 20:00:00.0		Operational		USCRN
37201	RS	SA	Tiksi	4 SSE	Roshydromet Observatory at Tiksi	71.58	128.91	30	Non-comissioned			Operational		USCRN
53002	US	NM	Artesia	2 WNW	Artesia Municipal Airport	32.85	-104.45	3501	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
53003	US	NM	Grants	2 S	NPS, Northwest New Mexico Interagency (BLM, FS, NPS) Visitor Center	35.11	-107.83	6443	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
53004	US	UT	Bluff	32 NW	NPS, Natural Bridges National Monument	37.6	-109.98	6428	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
53005	US	CO	Buena Vista	2 SSE	Central Colorado Regional Airport	38.81	-106.12	7933	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
53006	US	AZ	Amado	23 W	FWS, Buenos Aires National Wildlife Refuge	31.69	-111.44	3300	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
53007	US	CO	Colorado Springs	23 NW	FS, Rocky Mountain Research Stations (Manitou Experimental Forest)	39.08	-105.08	7872	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
53008	US	NM	Clovis	7 N	Ned Houk State Park	34.51	-103.17	4316	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
53009	US	NM	Ramah	9 SE	NPS, El Morro National Monument	35.04	-108.36	7164	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
53010	US	UT	Monticello	24 NW	BLM Indian Creek	38.14	-109.61	5025	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
53011	US	AZ	Tsaile	1 SSW	Dine College	36.29	-109.21	7071	Non-comissioned		2013-06-23 20:00:00.0	Closed		USRCRN
53012	US	UT	Blanding	26 SSW	BLM near Sand Island Recreation Area	37.26	-109.6	4390	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
53013	US	UT	Cedar City	18 SSE	NPS, Zion National Park (Kolob Canyons)	37.45	-113.22	5096	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
53014	US	UT	Mexican Hat	10 NW	BLM near Muley Point	37.25	-109.98	6364	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
53015	US	NM	Hagerman	10 ESE	BLM near Hagerman	33.08	-104.16	3552	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
53016	US	NM	Vaughn	36 SSE	BLM near Ramon	34.13	-104.93	5034	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
53017	US	NM	Aztec	43 E	FS, Carson National Forest (Jicarilla Ranger District)	36.74	-107.21	7024	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
53019	US	AZ	Whiteriver A	1 SW	BIA, Whiteriver, Fort Apache Tribe (Fire Management Facility)	33.82	-109.98	5173	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
53022	US	NM	Elida	14 SW	BLM near Kenna	33.8	-103.84	4313	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
53023	US	UT	Spanish Valley	25 SW	NPS, Canyonlands National Park (Island in the Sky) (NADP site)	38.31	-109.85	6275	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
53024	US	NM	Las Vegas	6 NE	Las Vegas Municipal Airport	35.66	-105.14	6847	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
53025	US	NM	Hachita	7 ESE	BLM near Hachita	31.88	-108.2	4652	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
53026	US	NM	Pinon	8 SSE	BLM near Pinon	32.51	-105.33	5456	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
53131	US	AZ	Tucson	11 W	Sonora Desert Museum	32.23	-111.16	2733	Commissioned	2004-01-11 19:00:00.0		Operational		USCRN
53132	US	AZ	Elgin	5 S	BLM, Appleton-Whittell Research Ranch	31.59	-110.5	4811	Commissioned	2004-01-11 19:00:00.0		Operational		USCRN
53136	US	NV	Mercury	3 SSW	Nevada Test Site (Desert Rock Meteorological Lab)	36.62	-116.02	3284	Commissioned	2004-06-07 20:00:00.0		Operational		USCRN
53138	US	NV	Baker	5 W	Great Basin National Park (Gravel Pit Site)	39.01	-114.2	6617	Commissioned	2004-06-28 20:00:00.0		Operational		USCRN
53139	US	CA	Stovepipe Wells	1 SW	Death Valley National Park (Stovepipe Wells Site)	36.6	-117.14	84	Commissioned	2004-06-07 20:00:00.0		Operational		USCRN
53149	US	UT	Torrey	7 E	Capitol Reef National Park, Goosenecks Road Site	38.3	-111.29	6204	Commissioned	2007-12-18 19:00:00.0		Operational		USCRN
53150	US	CA	Yosemite Village	12 W	Yosemite National Park, (Crane Flat Lookout)	37.75	-119.82	6620	Commissioned	2007-12-18 19:00:00.0		Operational		USCRN
53151	US	CA	Fallbrook	5 NE	San Diego State Univ's Santa Margarita Ecological Reserve (Old Mine Road)	33.43	-117.19	1140	Commissioned	2008-06-08 20:00:00.0		Operational		USCRN
53152	US	CA	Santa Barbara	11 W	Univ. of California - Santa Barbara (Coal Oil Point Reserve)	34.41	-119.87	18	Commissioned	2008-09-20 20:00:00.0		Operational		USCRN
53154	US	AZ	Yuma	27 ENE	U.S. Army, Yuma Proving Ground  (Redbluff Pavement Site)	32.83	-114.18	620	Commissioned	2008-09-02 20:00:00.0		Operational		USCRN
53155	US	AZ	Williams	35 NNW	Babbitt Ranches (Meridian Site)	35.75	-112.33	5990	Commissioned	2008-07-29 20:00:00.0		Operational		USCRN
53156	US	AZ	Phoenix	7 S	South Mountain Regional Park	33.34	-112.08	1404	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
53159	US	AZ	Cameron	25 SSE	NPS, Wupatki National Monument (Woodhouse Mesa)	35.5	-111.34	4807	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
53160	US	AZ	Camp Verde	3 N	NPS, Montezuma Castle National Monument (Water Tank Butte)	34.61	-111.84	3434	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
53162	US	AZ	Coolidge	5 W	NPS, Casa Grande Ruins National Monument	32.99	-111.53	1425	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
53163	US	NM	Socorro	17 WSW	FS, Cibola National Forest (Magdalena Ridge Observatory)	33.97	-107.18	10486	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
53164	US	AZ	Page	9 WSW	NPS, Glen Canyon National Recreation Area (Lees Ferry)	36.86	-111.6	3254	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
53165	US	UT	Delta	4 NE	Delta Municipal Airport	39.38	-112.5	4761	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
53166	US	UT	St. George	15 NE	BLM near White Reef	37.21	-113.37	3417	Non-comissioned		2012-09-26 20:00:00.0	Closed		USRCRN
53167	US	UT	Midway	3 NE	Utah Valley University (Wasatch Campus)	40.54	-111.41	5748	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
53168	US	AZ	Ajo	29 S	NPS, Organ Pipe Cactus National Monument	31.94	-112.8	1661	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
53169	US	AZ	Kayenta	16 WSW	NPS, Navajo National Monument	36.68	-110.54	7274	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
53170	US	AZ	Heber	3 SE	FS, Sitgreaves National Forest (Black Mesa Ranger Station)	34.39	-110.56	6625	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
53171	US	UT	Milford	42 WNW	FS, Rocky Mountain Research Stations (Desert Range Experimental Station)	38.59	-113.75	5255	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
53172	US	AZ	Lake Havasu City	19 SE	Buckskin Mountain State Park	34.25	-114.13	416	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
53173	US	NM	Nageezi	18 SSW	NPS, Chaco Culture National Historical Park	36.03	-107.9	6449	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
53174	US	UT	Price	3 E	Carbon County Airport	39.6	-110.75	5835	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
53176	US	AZ	Gila Bend	3 ENE	Gila Bend Municipal Airport	32.96	-112.66	780	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
53180	US	AZ	Kingman	8 NE	Kingman Airport	35.25	-113.93	3425	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
53181	US	AZ	Safford	5 NNE	Safford Regional Airport	32.85	-109.63	3176	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
53182	US	OK	Goodwell	2 SE	Oklahoma Panhandle State Univ., School of Agriculture (Permanent Pasture)	36.56	-101.6	3282	Non-comissioned			Operational		USCRN
53183	US	AZ	Fredonia	7 SSE	BLM near Fredonia	36.85	-112.45	5147	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
53184	US	AZ	Meadview	7 N	NPS, Lake Mead National Recreation Area (Pearce Ferry Airport)	36.09	-114.04	2938	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
53185	US	UT	Beaver	15 E	FS, Fishlake National Forest (Big Flat Ranger Station)	38.27	-112.37	10132	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
53877	US	NC	Asheville	8 SSW	North Carolina  Arboretum (Bierbaum Site)	35.49	-82.61	2151	Commissioned	2000-11-13 19:00:00.0		Operational	53878	USCRN
53878	US	NC	Asheville	13 S	NC Mtn. Horticultural Crops Res. Ctr. (Backlund Site)	35.41	-82.55	2103	Commissioned	2000-11-13 19:00:00.0		Operational	53877	USCRN
53926	US	OK	Stillwater	2 W	Oklahoma State Univ. (Ag.  Research Farm Site)	36.11	-97.09	890	Commissioned	2004-01-11 19:00:00.0		Operational	53927	USCRN
53927	US	OK	Stillwater	5 WNW	Oklahoma State University (Efaw Farm Site)	36.13	-97.1	888	Commissioned	2004-01-11 19:00:00.0		Operational	53926	USCRN
53960	US	LA	Lafayette	13 SE	University of Louisiana at Lafayette (Cade Farm)	30.09	-91.87	35	Commissioned	2004-01-11 19:00:00.0		Operational		USCRN
53961	US	LA	Monroe	26 N	Upper Ouachita National Wildlife Refuge	32.88	-92.11	88	Commissioned	2004-01-11 19:00:00.0		Operational		USCRN
53968	US	TX	Palestine	6 WNW	NASA (National Scientific Balloon Facility)	31.77	-95.72	383	Commissioned	2004-01-11 19:00:00.0		Operational		USCRN
53974	US	KS	Manhattan	6 SSW	Kansas State University (Konza Prairie Biological Station)	39.1	-96.6	1137	Commissioned	2004-01-11 19:00:00.0		Operational		USCRN
54794	US	NH	Durham	2 N	University of New Hampshire (Kingman Farm Site)	43.17	-70.92	119	Commissioned	2004-01-11 19:00:00.0		Operational	54795	USCRN
54795	US	NH	Durham	2 SSW	University of New Hampshire (Thompson Farm Site)	43.1	-70.94	63	Commissioned	2004-01-11 19:00:00.0		Operational	54794	USCRN
54796	US	RI	Kingston	1 NW	University of Rhode Island (Plains Road Site)	41.49	-71.54	115	Commissioned	2004-01-11 19:00:00.0		Operational	54797	USCRN
54797	US	RI	Kingston	1 W	University of Rhode Island (Peckham Farm Site)	41.47	-71.54	106	Commissioned	2004-01-11 19:00:00.0		Operational	54796	USCRN
54808	US	IL	Champaign	9 SW	Univ. of Illinois (Bondville Environ. & Atmos. Resrch. Stn.)	40.05	-88.37	700	Commissioned	2004-01-11 19:00:00.0		Operational		USCRN
54810	US	MI	Chatham	1 SE	Michigan State University (Upper Peninsula Experiment Station)	46.33	-86.92	875	Commissioned	2005-04-06 20:00:00.0		Operational		USCRN
54811	US	IL	Shabbona	5 NNE	Northern Illinois Agronomy Research Center	41.84	-88.85	861	Commissioned	2004-01-11 19:00:00.0		Operational		USCRN
54851	US	OH	Coshocton	8 NNE	North Appalachian Experimental Watershed (CRN site)	40.36	-81.78	1120	Commissioned	2007-01-25 19:00:00.0	2016-09-18 20:00:00.0	Closed		USCRN
54854	US	MI	Gaylord	9 SSW	National Weather Service, Gaylord	44.9	-84.72	1461	Commissioned	2007-12-18 19:00:00.0		Operational		USCRN
54856	US	OH	Wooster	3 SSE	OSU, Ohio Agricultural Research & Development Center (Snyder Farm Site)	40.76	-81.91	1102	Non-comissioned			Operational		USCRN
54902	US	IA	Des Moines	17 E	Neal Smith NWR (NOAA Station Site)	41.55	-93.28	921	Commissioned	2005-02-10 19:00:00.0		Operational		USCRN
54903	US	WI	Necedah	5 WNW	Necedah National Wildlife Refuge (Rynearson Dam No. 2)	44.06	-90.17	933	Commissioned	2005-03-09 19:00:00.0		Operational		USCRN
54932	US	MN	Sandstone	6 W	Audubon Center of  the North Woods	46.11	-92.99	1130	Commissioned	2007-09-27 20:00:00.0		Operational		USCRN
54933	US	SD	Aberdeen	35 WNW	The Nature Conservancy (Samuel H. Ordway Prairie, Hdq. Site)	45.71	-99.12	1957	Commissioned	2007-09-27 20:00:00.0		Operational		USCRN
54937	US	ND	Jamestown	38 WSW	North Dakota State University, Central Grasslands (Sec. 14 Site)	46.77	-99.47	1920	Commissioned	2008-09-04 20:00:00.0		Operational		USCRN
56401	US	AK	Glennallen	64 N	BLM, Paxson Airport	63.02	-145.5	2669	Commissioned	2014-07-20 20:00:00.0		Operational		USCRN
